total_time,silent_pauses,total_syllables,phonation_time,confidence
5.22,1,23,4.452,1
3.18,1,16,2.828,-1
3.7,1,17,3.364,1
1.31,0,1,1.25666,1
4.38,0,27,4.38,1
9.8,3,45,7.91534,1
0.38,0,2,0.34866,0
0.74,0,3,0.67266,1
2.27,0,12,2.27,1
2.81,0,19,2.81,1
3.79,0,18,3.75134,1
0.41,0,3,0.41,-1
1.55,0,11,1.51666,1
0.31,0,2,0.31,1
1.45,0,9,1.45,1
0.49,0,1,0.20134,1
0.83,0,1,0.57066,0
3.82,2,4,2.14934,1
3.73,0,9,3.70466,1
2.92,1,12,2.376,1
3.69,2,13,2.762,1
1.76,0,10,1.76,-1
3.02,0,15,3.02,1
0.63,0,4,0.63,1
0.85,0,6,0.85,1
6.32,2,21,4.49734,1
0.89,0,5,0.88866,-1
3.29,2,13,2.458,1
1.59,0,10,1.59,1
4.81,0,18,4.19934,1
4.34,0,23,3.856,1
0.91,0,4,0.86866,0
3.52,1,13,2.608,1
4.57,1,17,3.62734,1
3.64,1,12,2.32,1
1.69,0,13,1.66466,1
1.86,0,11,1.83934,-1
4.47,1,14,3.398,1
1.78,0,8,1.78,1
2.4,0,9,1.97734,1
0.71,0,2,0.368,1
1.55,0,10,1.45066,-1
1.52,1,6,1.2,1
1.27,0,3,1.27,1
2.12,1,6,1.672,1
2.39,0,13,1.88534,1
2.0,0,10,1.96066,0
4.86,1,14,3.79934,1
3.87,0,19,3.328,1
2.52,0,9,2.47466,1
3.03,1,11,2.26134,1
2.03,0,10,1.696,-1
2.98,1,18,2.64266,1
1.59,1,9,1.238,1
2.56,0,8,2.24734,1
0.55,0,1,0.52666,1
2.73,0,14,2.73,-1
6.42,1,22,6.02,1
3.75,0,14,3.75,1
2.46,1,5,1.484,1
3.56,0,18,3.56,1
2.63,1,12,1.78734,0
3.58,0,17,3.54266,1
1.64,0,6,0.92134,1
5.01,0,15,3.76,1
1.51,0,6,1.152,1
4.66,0,22,4.60266,-1
1.29,0,1,0.688,1
3.26,0,16,3.21666,1
1.97,0,14,1.97,1
1.53,0,11,1.53,1
4.05,1,12,3.554,-1
2.65,0,8,1.61734,1
1.51,0,7,1.48666,1
0.92,0,3,0.92,1
2.79,0,12,2.79,1
2.64,1,12,1.712,-1
1.47,0,3,1.47,1
0.76,0,3,0.30134,1
1.04,0,1,0.176,1
2.46,0,11,2.27866,1
1.9,0,8,1.28934,-1
4.01,1,15,3.28,1
1.8,1,5,0.512,1
0.33,0,1,0.30266,1
0.76,0,4,0.71866,1
0.14,0,1,0.14,-1
3.56,1,14,3.016,1
1.88,0,10,1.83266,1
1.64,0,4,1.64,1
3.72,1,16,3.32,1
8.19,2,31,7.422,-1
3.71,2,11,2.894,1
0.29,0,1,0.29,1
1.03,0,2,1.01066,1
2.59,0,11,2.59,1
5.63,2,20,4.462,-1
3.16,1,13,2.696,1
5.42,0,30,5.42,1
8.77,3,27,6.65334,1
6.22,2,27,5.07266,1
4.2,1,20,3.31134,0
0.26,0,1,0.23266,1
2.39,0,11,2.38266,1
3.51,0,19,3.02534,1
4.94,2,23,4.00066,1
0.41,0,2,0.41,-1
1.3,0,6,1.3,1
1.8,1,6,1.496,1
4.33,2,22,3.562,1
2.47,0,13,2.17534,1
1.34,0,8,1.33066,0
8.85,1,35,7.67734,1
2.62,0,13,2.57666,1
3.3,0,19,3.3,1
1.45,0,6,1.45,1
3.59,0,16,3.59,0
5.9,0,28,5.37134,1
1.69,0,16,1.67466,1
0.5,0,1,0.46466,1
1.25,0,5,1.25,1
4.03,0,21,3.57734,0
1.72,0,6,0.976,1
3.93,0,21,3.86266,1
3.45,0,17,3.45,1
2.62,0,11,2.25534,1
5.82,0,31,5.78466,0
3.72,1,16,3.144,1
2.84,1,14,2.504,1
5.12,1,21,4.816,1
0.46,0,1,0.45534,1
0.43,0,1,0.352,-1
0.56,0,4,0.528,1
0.63,0,2,0.63,1
0.39,0,2,0.39,1
1.01,1,2,0.482,1
3.75,1,17,3.04266,-1
4.66,0,16,4.09334,1
1.92,0,6,1.152,1
1.65,0,6,1.248,1
1.69,0,8,1.152,1
4.34,0,21,3.888,-1
5.07,2,24,4.10066,1
1.68,0,13,1.68,1
6.43,2,30,4.61934,1
3.54,0,19,3.264,1
4.17,0,18,3.66466,0
2.39,0,12,1.82334,1
3.33,0,16,2.816,1
2.3,0,11,2.0,1
3.04,0,14,2.99666,1
1.05,0,4,1.05,-1
0.23,0,1,0.23,1
2.18,0,5,0.864,1
2.66,0,13,2.61266,1
3.96,0,13,3.19534,1
3.65,1,5,2.70266,0
1.09,0,3,0.68934,1
4.72,1,19,4.27266,1
1.83,1,5,1.014,1
2.45,0,10,2.45,1
2.67,0,11,2.67,0
0.8,0,7,0.8,1
0.89,0,7,0.89,1
6.68,3,21,4.38334,1
2.86,0,17,2.83666,1
0.55,0,3,0.55,0
0.46,0,2,0.42466,1
0.21,0,1,0.20066,1
1.79,0,10,1.79,1
1.57,0,8,1.57,1
4.06,1,11,3.47934,0
0.51,0,1,0.46666,1
0.27,0,1,0.26666,1
0.19,0,1,0.19,1
0.18,0,1,0.15466,1
4.12,0,18,3.696,0
5.16,1,26,4.75066,1
1.36,0,7,1.36,1
2.46,1,5,1.31334,1
2.42,0,17,2.38266,1
2.8,1,6,2.448,-1
8.67,1,45,8.22266,1
6.97,1,30,6.442,1
3.37,1,13,2.58334,1
